Species	Min	Max	Median	Mean	StDev	Assembly_count	GC_Min	GC_Max	GC_Median	GC_Mean	GC_Stdev	GC_count	CDS_Min	CDS_Max	CDS_Median	CDS_Mean	CDS_Stdev	CDS_count	Consensus_TAXID
Helicobacter trogontum	2.329753	2.508492	2.439066	2.430515	0.05887554523455954	7	33.0	33.5	33.25	33.25	0.2672612419124244	8	2069	2278	2168	2164.5714285714284	70.6867671323215	7	50960
Porphyromonas gulae	2.226078	2.463382	2.33795	2.3438008333333333	0.07027821779552433	12	48.0	49.0	48.5	48.57692307692308	0.2773500981126146	13	1896	2152	1995	1997.1538461538462	70.31814151156887	13	111105
Porphyromonas sp. COT-052 OH4946	2.384876	2.384876	2.384876	2.384876	0.0	1	48.5	48.5	48.5	48.5	0	1	2030	2030	2030	2030	0	1	1515618
Porphyromonas canoris	2.202536	2.308674	2.255605	2.255605	0.07505089954157777	2	44.5	45.0	44.75	44.75	0.3535533905932738	2	1739	1843	1791.0	1791	73.53910524340094	2	36875
Porphyromonas cangingivalis	2.364757	2.441844	2.404857	2.3999334	0.033294408168639975	5	47.5	47.5	47.5	47.5	0.0	5	1848	1940	1913.5	1901.5	37.30817604761723	6	36874
Paenilisteria newyorkensis	3.341532	3.540357	3.472102	3.4632041428571427	0.06665078958629216	7	43.0	43.0	43.0	43.0	0.0	7	3096	3331	3263	3237.1428571428573	89.1056088235164	7	1497681
Polaribacter sp. Hel1_85	3.914068	3.914068	3.914068	3.914068	0.0	1	29.0	29.0	29.0	29.0	0	1	3383	3383	3383	3383	0	1	1250005
Polaribacter sp. Hel1_33_49	3.012752	3.012752	3.012752	3.012752	0.0	1	31.0	31.0	31.0	31.0	0	1	2553	2553	2553	2553	0	1	1336803
Listeria booriae	3.217199	3.846862	3.5305	3.5383096666666667	0.1472133284865681	93	41.5	42.0	42.0	41.863157894736844	0.22410703729631848	95	2980	3687	3313	3316.6	133.25223242710987	95	1552123
Corynebacterium camporealensis	2.267984	2.45181	2.403485	2.3786962857142857	0.07858955777055517	7	59.5	59.5	59.5	59.5	0.0	7	2170	2238	2200.5	2199	26.412118430750684	6	161896
Cellvibrio mixtus subsp. mixtus J3-8	5.183709	5.183709	5.183709	5.183709	0.0	1	46.5	46.5	46.5	46.5	0	1	4292	4292	4292	4292	0	1	1209072
Escherichia coli NCTC 50110	4.725415	4.725415	4.725415	4.725415	0.0	1	50.5	50.5	50.5	50.5	0	1	4401	4401	4401	4401	0	1	1333537
Coxiella burnetii str. Namibia	2.101438	2.101438	2.101438	2.101438	0.0	1	42.5	42.5	42.5	42.5	0	1	1870	1870	1870	1870	0	1	1321945
Cellulomonas cellasea DSM 20118	3.913703	3.913703	3.913703	3.913703	0.0	1	74.5	74.5	74.5	74.5	0	1	3533	3533	3533	3533	0	1	1408250
Methylophaga thiooxydans	2.556822	2.589653	2.5732375	2.5732375	0.02321502273313554	2	45.5	45.5	45.5	45.5	0.0	2	2517	2541	2529.0	2529	16.97056274847714	2	392484
Cellulomonas bogoriensis 69B4 = DSM 16987	3.183361	3.183361	3.183361	3.183361	0.0	1	72.0	72.0	72.0	72.0	0	1	3077	3077	3077	3077	0	1	1386082
Cellulomonas carbonis T26	3.976246	3.976246	3.976246	3.976246	0.0	1	73.0	73.0	73.0	73.0	0	1	3599	3599	3599	3599	0	1	947969
Fervidobacterium islandicum	2.138953	2.237453	2.192603	2.1896696666666666	0.0493154725551052	3	40.5	41.0	41.0	40.833333333333336	0.28867513459481287	3	1935	2026	1987	1982.6666666666667	45.654499595695206	3	2423
Corynebacterium ulcerans	2.419371	2.579134	2.4837895	2.491657346153846	0.03626352832453696	52	53.5	53.5	53.5	53.5	0.0	50	2111	2325	2173	2188.4150943396226	50.47293027808385	53	65058
Mycolicibacterium smegmatis	6.825805	7.061747	6.8452915	6.89402521875	0.07220876650873696	64	67.5	67.5	67.5	67.5	0.0	65	6439	6611	6462.5	6494.6875	50.27476093728927	64	1772
Corynebacterium ramonii	2.442826	2.442837	2.4428315	2.4428315	7.778174593052022e-06	2	53.5	53.5	53.5	53.5	0.0	2	2110	2120	2115.0	2115	7.0710678118654755	2	3026968
Clostridium beijerinckii ATCC 35702	5.99905	5.99905	5.99905	5.99905	0.0	1	30.0	30.0	30.0	30.0	0	1	5187	5187	5187	5187	0	1	864803
Inquilinus limosus MP06	6.934542	6.934542	6.934542	6.934542	0.0	1	69.5	69.5	69.5	69.5	0	1	7176	7176	7176	7176	0	1	1398085
Streptococcus sinensis	2.061843	2.206735	2.119737	2.12136	0.05560986279429217	5	42.0	42.0	42.0	42.0	0.0	5	1903	1978	1940	1940.8	32.07335342616983	5	176090
Aquabacterium sp. NJ1	5.020969	5.020969	5.020969	5.020969	0.0	1	64.0	64.0	64.0	64.0	0	1	4332	4332	4332	4332	0	1	1538295
Pseudooceanicola atlanticus	4.08836	4.596758	4.272644	4.290990333333333	0.17313766070095785	9	64.5	64.5	64.5	64.5	0.0	8	3969	4432	4048	4113.888888888889	154.74773378344224	9	1461694
Lysobacter arseniciresistens ZS79	3.085112	3.085112	3.085112	3.085112	0.0	1	69.5	69.5	69.5	69.5	0	1	2838	2838	2838	2838	0	1	913325
Lysobacter concretionis Ko07 = DSM 16239	3.032117	3.034995	3.033556	3.033556	0.002035053316254884	2	67.0	67.0	67.0	67.0	0.0	2	2606	2607	2606.5	2606.5	0.7071067811865476	2	1122185
Lysobacter daejeonensis GH1-9	3.275062	3.275062	3.275062	3.275062	0.0	1	67.5	67.5	67.5	67.5	0	1	2949	2949	2949	2949	0	1	1385517
Escherichia coli G3/10	4.999267	4.999267	4.999267	4.999267	0.0	1	51.0	51.0	51.0	51.0	0	1	4561	4561	4561	4561	0	1	1455601
Roseovarius mucosus DSM 17069	4.241818	4.241818	4.241818	4.241818	0.0	1	62.0	62.0	62.0	62.0	0	1	4059	4059	4059	4059	0	1	1288298
Clostridium haemolyticum NCTC 8350	2.465609	2.465609	2.465609	2.465609	0.0	1	28.0	28.0	28.0	28.0	0	1	2407	2407	2407	2407	0	1	1443115
Clostridium novyi A str. 4570	2.324088	2.324088	2.324088	2.324088	0.0	1	29.0	29.0	29.0	29.0	0	1	2128	2128	2128	2128	0	1	1444290
Clostridium botulinum C/D str. DC5	3.325782	3.325782	3.325782	3.325782	0.0	1	28.0	28.0	28.0	28.0	0	1	3152	3152	3152	3152	0	1	1443128
Clostridium novyi A str. 4552	2.798065	2.798065	2.798065	2.798065	0.0	1	28.5	28.5	28.5	28.5	0	1	2569	2569	2569	2569	0	1	1444289
